title,description,prep_time,cook_time,servings,difficulty,protein_type,ingredients,instructions,tags
Beef and Broccoli,"A classic Chinese-American dish with tender beef and crisp broccoli in a savory sauce.",20 min,10 min,4,Easy,Beef,"1 lb flank steak, thinly sliced against the grain|1/4 cup soy sauce|2 tbsp brown sugar|1 tbsp sesame oil|1 tsp minced ginger|2 cloves garlic, minced|1 tbsp cornstarch|1 large head broccoli, cut into florets|1 tbsp vegetable oil|Cooked white rice for serving","1. In a bowl, combine soy sauce, brown sugar, sesame oil, ginger, garlic, and cornstarch. Add the sliced steak and toss to coat. Let it marinate for at least 15 minutes.|2. Steam or blanch the broccoli florets for 2-3 minutes until bright green and tender-crisp. Drain and set aside.|3. Heat vegetable oil in a wok or large skillet over high heat.|4. Remove steak from the marinade, letting excess drip off. Add steak to the hot skillet in a single layer and cook for 1-2 minutes per side until browned. Don't overcrowd the pan.|5. Add the blanched broccoli and the remaining marinade to the skillet. Bring to a boil and cook, stirring, for 1-2 minutes until the sauce has thickened.|6. Serve immediately over white rice.","asian,chinese,beef,stir-fry,weeknight"
One-Pot Chicken and Rice,"A simple and comforting meal where chicken and rice cook together with vegetables and herbs.",10 min,30 min,4,Easy,Chicken,"1 tbsp olive oil|1 lb boneless, skinless chicken thighs, cut into bite-sized pieces|1 onion, chopped|2 carrots, diced|2 cloves garlic, minced|1 cup long-grain white rice|2 cups chicken broth|1 tsp dried thyme|Salt and pepper to taste|1/2 cup frozen peas","1. Heat olive oil in a large pot or Dutch oven over medium-high heat.|2. Season chicken with salt and pepper and add to the pot. Cook until browned on all sides. Remove chicken and set aside.|3. Add the onion and carrots to the pot and cook until softened, about 5 minutes. Stir in the garlic.|4. Add the rice to the pot and stir for 1 minute to toast it slightly.|5. Pour in the chicken broth, add thyme, and season with salt and pepper. Bring to a boil.|6. Return the chicken to the pot. Reduce heat to low, cover, and simmer for 15-20 minutes, or until the liquid is absorbed and the rice is tender.|7. Stir in the frozen peas, cover, and let it sit off the heat for 5 minutes.|8. Fluff the rice with a fork and serve.","one-pot,chicken,comfort food,easy"
Spicy Thai Green Curry with Tofu,"A fragrant and spicy Thai curry made with green curry paste, coconut milk, tofu, and vegetables.",15 min,20 min,4,Medium,Vegan,"1 tbsp coconut oil|1 block (14 oz) extra-firm tofu, pressed and cubed|2-4 tbsp green curry paste (to taste)|1 (13.5 oz) can full-fat coconut milk|1 cup vegetable broth|1 red bell pepper, sliced|1 cup bamboo shoots, drained|1 cup Thai basil leaves|1 tbsp soy sauce|1 tsp sugar|Cooked jasmine rice for serving","1. Heat coconut oil in a large skillet or pot over medium-high heat. Add the cubed tofu and pan-fry until golden brown on all sides. Remove tofu and set aside.|2. Reduce heat to medium. Add the green curry paste and cook for 1 minute until fragrant.|3. Whisk in the coconut milk and vegetable broth until smooth. Bring to a simmer.|4. Add the bell pepper and bamboo shoots. Cook for 5-7 minutes until the vegetables are tender.|5. Stir in the pan-fried tofu, Thai basil leaves, soy sauce, and sugar. Cook for another 2 minutes.|6. Serve hot over jasmine rice.","asian,thai,curry,vegan,spicy"
Classic Shepherd's Pie,"A comforting casserole of savory ground lamb (or beef) and vegetables, topped with creamy mashed potatoes.",25 min,25 min,6,Medium,Beef,"For the filling: 1.5 lbs ground lamb or beef, 1 tbsp olive oil, 1 large onion, chopped, 2 carrots, diced, 2 cloves garlic, minced, 2 tbsp flour, 1 cup beef broth, 1 tbsp tomato paste, 1 tsp Worcestershire sauce, 1 cup frozen peas|For the topping: 2 lbs potatoes, peeled and quartered, 1/2 cup milk, 4 tbsp butter, salt and pepper","1. Make the topping: Boil potatoes in salted water until tender. Drain and mash with milk, butter, salt, and pepper until smooth.|2. Make the filling: Preheat oven to 400°F (200°C). In a large skillet, brown the ground meat over medium-high heat. Drain fat.|3. Add olive oil, onion, and carrots to the skillet and cook until softened. Stir in garlic.|4. Sprinkle flour over the meat and vegetables and stir to combine. Cook for 1 minute.|5. Gradually stir in beef broth, tomato paste, and Worcestershire sauce. Bring to a simmer and cook until thickened. Stir in the frozen peas.|6. Spread the meat mixture in the bottom of a baking dish. Top evenly with the mashed potatoes.|7. Bake for 20-25 minutes, or until the filling is bubbly and the potato topping is lightly browned.|8. Let cool for a few minutes before serving.","british,casserole,comfort food,family meal"
Mushroom Risotto,"A creamy, classic Italian rice dish made with Arborio rice, mushrooms, and Parmesan cheese.",10 min,30 min,4,Medium,Vegetarian,"6 cups vegetable or chicken broth|2 tbsp olive oil|1 lb mixed mushrooms, sliced|1 shallot, finely chopped|2 cloves garlic, minced|1.5 cups Arborio rice|1/2 cup dry white wine|1 cup grated Parmesan cheese|2 tbsp butter|Salt and pepper to taste|Fresh parsley, chopped, for garnish","1. In a saucepan, bring the broth to a simmer and keep it warm over low heat.|2. In a large, heavy-bottomed pot, heat olive oil over medium heat. Add the mushrooms and cook until they have released their liquid and are browned. Remove half of the mushrooms and set aside for garnish.|3. Add the shallot and garlic to the pot with the remaining mushrooms and cook until softened.|4. Add the Arborio rice and stir constantly for about 1 minute until the edges of the rice look translucent.|5. Pour in the white wine and cook, stirring, until it is fully absorbed.|6. Add one ladle of warm broth to the rice and stir until it is absorbed. Continue adding broth one ladle at a time, waiting for it to be absorbed before adding the next, stirring frequently. This process should take about 20-25 minutes.|7. The risotto is done when it is creamy and the rice is al dente. Remove from heat and stir in the Parmesan cheese and butter. Season with salt and pepper.|8. Garnish with the reserved cooked mushrooms and fresh parsley.","italian,risotto,vegetarian,comfort food"
BBQ Pulled Pork Sandwiches,"Tender, slow-cooked pork shoulder shredded and tossed in barbecue sauce, served on buns.",10 min,8 hours,8,Easy,Pork,"4 lb pork shoulder (Boston butt)|1 onion, chopped|2 cloves garlic, minced|1 cup BBQ sauce|1/4 cup apple cider vinegar|2 tbsp brown sugar|1 tbsp yellow mustard|1 tsp salt|1/2 tsp black pepper|8 hamburger buns|Coleslaw for serving (optional)","1. Place the chopped onion and garlic in the bottom of a slow cooker.|2. Place the pork shoulder on top.|3. In a bowl, whisk together the BBQ sauce, apple cider vinegar, brown sugar, mustard, salt, and pepper. Pour over the pork.|4. Cover and cook on low for 8 hours or on high for 4 hours, until the pork is very tender.|5. Remove the pork from the slow cooker and shred it using two forks. Discard any large pieces of fat.|6. Return the shredded pork to the slow cooker and stir to combine with the sauce.|7. Serve the pulled pork on hamburger buns, topped with coleslaw if desired.","american,slow-cooker,pork,sandwich"
Classic Chicken Noodle Soup,"The ultimate comfort food, made with tender chicken, vegetables, and egg noodles in a flavorful broth.",15 min,45 min,6,Easy,Chicken,"1 tbsp olive oil|1 onion, chopped|2 carrots, sliced|2 celery stalks, sliced|3 cloves garlic, minced|8 cups chicken broth|1 lb boneless, skinless chicken breast|1 tsp dried thyme|1 bay leaf|1.5 cups egg noodles, uncooked|2 tbsp chopped fresh parsley|Salt and pepper to taste","1. Heat olive oil in a large pot or Dutch oven over medium heat. Add onion, carrots, and celery. Cook until softened, about 5-7 minutes.|2. Stir in garlic and cook for 1 minute more.|3. Pour in the chicken broth, add the whole chicken breasts, thyme, and bay leaf. Bring to a boil, then reduce heat and simmer for 20-25 minutes, until the chicken is cooked through.|4. Carefully remove the chicken breasts from the pot. Shred the chicken using two forks and set aside.|5. Bring the broth back to a simmer and add the uncooked egg noodles. Cook for 6-8 minutes, or until the noodles are tender.|6. Return the shredded chicken to the pot. Stir in the fresh parsley.|7. Season with salt and pepper to taste. Remove the bay leaf before serving.","american,soup,comfort food,chicken,healthy"
Garlic Shrimp Scampi with Pasta,"A quick and elegant dish of shrimp sautéed in a garlic, white wine, and butter sauce, served over pasta.",10 min,15 min,4,Easy,Fish,"12 oz linguine or spaghetti|4 tbsp butter|4 tbsp olive oil|5 cloves garlic, thinly sliced|1/4 tsp red pepper flakes (optional)|1.5 lbs large shrimp, peeled and deveined|Salt and pepper to taste|1/2 cup dry white wine (like Pinot Grigio)|Juice of 1 lemon|1/4 cup chopped fresh parsley","1. Cook pasta according to package directions. Reserve 1/2 cup of pasta water before draining.|2. In a large skillet, melt butter with olive oil over medium heat.|3. Add the sliced garlic and red pepper flakes. Cook for 1-2 minutes until fragrant, being careful not to burn the garlic.|4. Add the shrimp to the skillet, season with salt and pepper, and cook for 2-3 minutes, stirring occasionally, until they turn pink and opaque.|5. Pour in the white wine and lemon juice. Bring to a simmer and cook for 1 minute to allow the alcohol to cook off.|6. Add the drained pasta to the skillet with the shrimp. Toss to combine. If the sauce is too thick, add a little of the reserved pasta water.|7. Stir in the fresh parsley and serve immediately.","italian,seafood,pasta,quick,weeknight"
Beef Tacos,"Classic ground beef tacos with homemade seasoning, perfect for a fun and easy family dinner.",10 min,15 min,6,Easy,Beef,"1.5 lbs ground beef|1 tbsp chili powder|1 tsp cumin|1/2 tsp paprika|1/2 tsp garlic powder|1/2 tsp onion powder|1/4 tsp salt|1/4 tsp black pepper|3/4 cup water|12 hard taco shells or soft tortillas|Toppings: shredded lettuce, diced tomatoes, shredded cheddar cheese, sour cream, salsa","1. In a large skillet, cook the ground beef over medium-high heat until browned. Drain off any excess grease.|2. Stir in the chili powder, cumin, paprika, garlic powder, onion powder, salt, and pepper.|3. Pour in the water, stir to combine, and bring to a simmer. Reduce heat and let it simmer for 5-7 minutes, until the liquid has reduced and the mixture has thickened slightly.|4. While the meat simmers, warm the taco shells or tortillas according to package directions.|5. Assemble the tacos by filling the shells with the beef mixture and adding your favorite toppings.","mexican,beef,tacos,family meal,weeknight"
Mediterranean Chickpea Salad,"A vibrant and healthy salad with chickpeas, cucumbers, tomatoes, and a zesty lemon dressing.",15 min,0 min,4,Easy,Vegan,"2 (15 oz) cans chickpeas, rinsed and drained|1 English cucumber, diced|1 pint cherry tomatoes, halved|1/2 red onion, finely diced|1/2 cup chopped fresh parsley|1/4 cup chopped fresh mint|For the dressing: 1/4 cup olive oil, 1/4 cup fresh lemon juice, 1 clove garlic, minced, salt and pepper to taste","1. In a large bowl, combine the chickpeas, cucumber, tomatoes, red onion, parsley, and mint.|2. In a small bowl, whisk together the olive oil, lemon juice, minced garlic, salt, and pepper.|3. Pour the dressing over the chickpea mixture and toss gently to combine.|4. Let the salad sit for at least 10 minutes to allow the flavors to meld.|5. Serve as a light lunch or a side dish. It's also great for meal prep.","mediterranean,vegan,salad,healthy,quick,gluten-free"
Classic Chili Con Carne,"A rich and spicy beef and bean chili, perfect for a cold day.",15 min,90 min,8,Easy,Beef,"2 lbs ground beef|1 large onion, chopped|1 green bell pepper, chopped|3 cloves garlic, minced|1/4 cup chili powder|2 tbsp cumin|1 tsp smoked paprika|1 tsp dried oregano|1/2 tsp cayenne pepper (or more to taste)|1 (28 oz) can crushed tomatoes|1 (15 oz) can kidney beans, rinsed and drained|1 (15 oz) can black beans, rinsed and drained|2 cups beef broth|Salt and pepper to taste","1. In a large pot or Dutch oven, brown the ground beef with the onion and bell pepper over medium-high heat. Drain excess fat.|2. Stir in the garlic, chili powder, cumin, smoked paprika, oregano, and cayenne. Cook for 1 minute until fragrant.|3. Add the crushed tomatoes, kidney beans, black beans, and beef broth. Season with salt and pepper.|4. Bring to a boil, then reduce heat to low, cover, and simmer for at least 1 hour (up to 3 hours for more flavor), stirring occasionally.|5. Taste and adjust seasonings if necessary.|6. Serve hot with toppings like shredded cheese, sour cream, and chopped onions.","american,soup,chili,comfort food,beef"
Chicken Parmesan,"Crispy breaded chicken breast, smothered in marinara sauce and melted mozzarella and Parmesan cheese.",20 min,25 min,4,Medium,Chicken,"4 boneless, skinless chicken breasts, pounded to 1/2-inch thickness|1 cup Italian-style breadcrumbs|1/2 cup grated Parmesan cheese|1 tsp garlic powder|1 egg, beaten|1/2 cup all-purpose flour|Salt and pepper|1/4 cup olive oil|2 cups marinara sauce|1 cup shredded mozzarella cheese|Cooked spaghetti for serving","1. Preheat oven to 400°F (200°C).|2. Set up three shallow dishes. In the first, place the flour seasoned with salt and pepper. In the second, the beaten egg. In the third, combine the breadcrumbs, Parmesan cheese, and garlic powder.|3. Dredge each chicken breast in flour, then dip in the egg, then coat thoroughly with the breadcrumb mixture.|4. Heat olive oil in a large oven-safe skillet over medium-high heat. Pan-fry the chicken for 2-3 minutes per side until golden brown.|5. Top each chicken breast with marinara sauce and a generous sprinkle of mozzarella cheese.|6. Transfer the skillet to the preheated oven and bake for 15-20 minutes, or until the chicken is cooked through and the cheese is bubbly and melted.|7. Serve immediately, often over a bed of spaghetti.","italian,chicken,comfort food,classic"
Simple Pan-Seared Pork Chops,"Juicy, tender pork chops with a beautiful golden-brown crust, ready in minutes.",5 min,15 min,4,Easy,Pork,"4 boneless pork chops, about 1-inch thick|1 tbsp olive oil|1 tsp salt|1/2 tsp black pepper|1 tsp paprika|1/2 tsp garlic powder|2 tbsp butter|2 cloves garlic, smashed|2 sprigs fresh thyme or rosemary (optional)","1. Pat the pork chops dry with a paper towel. This helps to get a good sear.|2. In a small bowl, mix together salt, pepper, paprika, and garlic powder. Rub the seasoning mixture all over the pork chops.|3. Heat olive oil in a large skillet over medium-high heat.|4. Carefully place the pork chops in the hot skillet. Cook for 4-6 minutes per side, until golden brown and cooked through. The internal temperature should reach 145°F (63°C).|5. During the last minute of cooking, add the butter, smashed garlic, and herb sprigs to the pan. Tilt the pan and spoon the melted butter over the chops.|6. Remove from skillet and let the pork chops rest for 5 minutes before serving.","american,pork,weeknight,quick"
Roasted Root Vegetables,"A simple, healthy, and colorful side dish of caramelized root vegetables.",15 min,40 min,6,Easy,Vegan,"1 lb carrots, peeled and cut into 1-inch chunks|1 lb parsnips, peeled and cut into 1-inch chunks|1 lb sweet potatoes, peeled and cut into 1-inch chunks|1 red onion, cut into wedges|3 tbsp olive oil|1 tsp dried thyme|1 tsp dried rosemary|Salt and pepper to taste","1. Preheat oven to 425°F (220°C).|2. On a large baking sheet, combine the carrots, parsnips, sweet potatoes, and red onion.|3. Drizzle with olive oil and sprinkle with thyme, rosemary, salt, and pepper. Toss well to coat all the vegetables evenly.|4. Spread the vegetables in a single layer on the baking sheet.|5. Roast for 35-45 minutes, tossing halfway through, until the vegetables are tender and caramelized at the edges.|6. Serve hot as a side dish.","vegan,side dish,healthy,roast"
Classic Tuna Salad Sandwich,"A quick and easy lunch staple made with canned tuna, mayonnaise, and celery.",10 min,0 min,2,Easy,Fish,"1 (5 oz) can tuna, drained|1/4 cup mayonnaise|1 celery stalk, finely chopped|1 tbsp finely chopped red onion|1 tbsp sweet pickle relish (optional)|1 tsp lemon juice|Salt and pepper to taste|4 slices of bread|Lettuce leaves","1. In a medium bowl, flake the drained tuna with a fork.|2. Add the mayonnaise, celery, red onion, relish (if using), and lemon juice. Mix until well combined.|3. Season with salt and pepper to taste.|4. Spread the tuna salad mixture evenly on two slices of bread.|5. Top with lettuce leaves and the remaining two slices of bread.|6. Serve immediately or chill for later.","american,sandwich,quick,lunch,seafood"
One-Pot Spanish Chicken and Chorizo Rice,"A vibrant and flavorful one-pot meal inspired by Spanish paella.",15 min,30 min,4,Medium,Chicken,"1 tbsp olive oil|1 lb boneless, skinless chicken thighs, cut into chunks|6 oz Spanish chorizo, sliced|1 onion, chopped|1 red bell pepper, chopped|2 cloves garlic, minced|1 tsp smoked paprika|Pinch of saffron threads|1.5 cups long-grain white rice|3 cups chicken broth|1 cup frozen peas|Lemon wedges for serving","1. Heat olive oil in a large, deep skillet or paella pan over medium-high heat. Add the chicken and cook until browned. Remove and set aside.|2. Add the chorizo to the skillet and cook for a few minutes until it releases its oils and becomes crispy. Remove and set aside.|3. In the same skillet, cook the onion and bell pepper until softened. Stir in the garlic, smoked paprika, and saffron and cook for 1 minute.|4. Add the rice and stir to coat it in the oils and spices.|5. Pour in the chicken broth and bring to a boil. Return the chicken and chorizo to the pan.|6. Reduce heat to low, cover, and simmer for 15-20 minutes, until the rice is tender and has absorbed the liquid.|7. Stir in the frozen peas, cover, and let it sit for 5 minutes off the heat.|8. Fluff with a fork and serve with lemon wedges.","spanish,one-pot,chicken,rice"
Broccoli Cheddar Soup,"A creamy, cheesy, and comforting soup that's perfect for a chilly day.",15 min,30 min,6,Easy,Vegetarian,"1/4 cup butter|1 medium onion, chopped|2 cloves garlic, minced|1/4 cup all-purpose flour|2 cups milk|2 cups chicken or vegetable broth|1 large head broccoli, chopped into small florets|1 large carrot, shredded|8 oz sharp cheddar cheese, shredded|1/2 tsp salt|1/4 tsp black pepper|Pinch of nutmeg","1. In a large pot or Dutch oven, melt the butter over medium heat. Add the onion and cook until softened.|2. Stir in the garlic and cook for 1 minute more.|3. Whisk in the flour and cook for 1 minute to form a roux.|4. Gradually whisk in the milk and broth until smooth. Bring to a simmer, stirring constantly, until the soup begins to thicken.|5. Add the broccoli florets and shredded carrot. Reduce heat, cover, and simmer for 15-20 minutes, or until the vegetables are very tender.|6. Reduce heat to low. Gradually stir in the shredded cheddar cheese until it's completely melted and the soup is smooth. Do not let the soup boil after adding the cheese.|7. Season with salt, pepper, and a pinch of nutmeg.|8. For a smoother soup, you can use an immersion blender to partially or fully blend it. Serve hot.","american,soup,vegetarian,comfort food,cheese"
Sweet and Sour Chicken,"A popular Chinese restaurant favorite with crispy chicken in a tangy sweet and sour sauce.",20 min,20 min,4,Medium,Chicken,"1 lb boneless, skinless chicken breast, cut into 1-inch cubes|1/2 cup cornstarch|1/4 tsp salt|1/4 tsp pepper|2 eggs, beaten|Vegetable oil for frying|1 green bell pepper, chopped|1 red bell pepper, chopped|1/2 onion, chopped|1 (8 oz) can pineapple chunks, drained (reserve juice)|For the sauce: 1/2 cup reserved pineapple juice, 1/2 cup rice vinegar, 1/2 cup ketchup, 1/4 cup brown sugar, 1 tbsp soy sauce","1. Make the sauce: In a saucepan, combine pineapple juice, rice vinegar, ketchup, brown sugar, and soy sauce. Bring to a boil, then reduce heat and simmer for 5 minutes until slightly thickened. Set aside.|2. In a bowl, toss the chicken cubes with cornstarch, salt, and pepper. Dip each piece in the beaten egg.|3. Heat 2 inches of vegetable oil in a wok or deep skillet to 350°F (175°C). Fry the chicken in batches for 3-4 minutes, until golden brown and cooked through. Remove and drain on paper towels.|4. In a clean skillet, stir-fry the bell peppers and onion for 2-3 minutes until tender-crisp.|5. Add the pineapple chunks, crispy chicken, and the sweet and sour sauce to the skillet. Toss gently to coat everything.|6. Serve immediately with rice.","asian,chinese,chicken,classic"
Caprese Pasta Salad,"A simple and fresh pasta salad with the classic flavors of a Caprese salad.",10 min,15 min,6,Easy,Vegetarian,"12 oz fusilli or penne pasta|1 pint cherry tomatoes, halved|8 oz fresh mozzarella balls (bocconcini), halved|1/2 cup fresh basil leaves, chopped|For the dressing: 1/4 cup balsamic vinegar, 2 tbsp olive oil, 1 clove garlic, minced, salt and pepper to taste","1. Cook the pasta according to package directions. Drain and rinse with cold water to cool it down.|2. In a large bowl, combine the cooled pasta, cherry tomatoes, mozzarella balls, and fresh basil.|3. In a small bowl, whisk together the balsamic vinegar, olive oil, minced garlic, salt, and pepper.|4. Pour the dressing over the pasta salad and toss to combine.|5. For best flavor, let the salad chill in the refrigerator for at least 30 minutes before serving.","italian,pasta,salad,vegetarian,summer,quick"
